venue,role,side,qty,price,mid,fee_bps,fee,spread_capture,symbol
VENUE_A,maker,SELL,40,26.3,25.6,-0.05,-0.005260000000000001,27.99999999999997,
VENUE_A,maker,BUY,40,24.9,25.6,-0.05,-0.00498,28.000000000000114,
VENUE_A,maker,BUY,40,24.9,25.59,-0.05,-0.00498,27.60000000000005,
VENUE_A,maker,BUY,20,24.9,25.6,-0.05,-0.00249,14.000000000000057,
VENUE_A,maker,SELL,40,26.3,25.61,-0.05,-0.005260000000000001,27.60000000000005,
VENUE_A,maker,SELL,20,26.3,25.6,-0.05,-0.0026300000000000004,13.999999999999986,
VENUE_A,maker,SELL,40,26.3,25.62,-0.05,-0.005260000000000001,27.19999999999999,
VENUE_A,maker,BUY,40,24.95,25.59,-0.05,-0.0049900000000000005,25.600000000000023,
VENUE_A,maker,SELL,40,26.3,25.61,-0.05,-0.005260000000000001,27.60000000000005,
VENUE_A,maker,BUY,20,24.95,25.59,-0.05,-0.0024950000000000003,12.800000000000011,
VENUE_A,maker,BUY,20,24.95,25.59,-0.05,-0.0024950000000000003,12.800000000000011,
VENUE_A,maker,BUY,40,24.9,25.59,-0.05,-0.00498,27.60000000000005,
VENUE_A,maker,BUY,40,24.9,25.59,-0.05,-0.00498,27.60000000000005,
VENUE_A,maker,SELL,20,26.3,25.59,-0.05,-0.0026300000000000004,14.200000000000017,
VENUE_A,maker,SELL,20,26.3,25.6,-0.05,-0.0026300000000000004,13.999999999999986,
VENUE_A,maker,SELL,20,26.3,25.6,-0.05,-0.0026300000000000004,13.999999999999986,
VENUE_A,maker,SELL,20,26.3,25.6,-0.05,-0.0026300000000000004,13.999999999999986,
VENUE_A,maker,SELL,40,26.3,25.6,-0.05,-0.005260000000000001,27.99999999999997,
VENUE_A,maker,BUY,20,24.9,25.6,-0.05,-0.00249,14.000000000000057,
VENUE_A,maker,SELL,40,26.3,25.6,-0.05,-0.005260000000000001,27.99999999999997,
VENUE_A,maker,BUY,40,24.9,25.6,-0.05,-0.00498,28.000000000000114,
VENUE_A,maker,BUY,40,24.9,25.59,-0.05,-0.00498,27.60000000000005,
VENUE_A,maker,BUY,20,24.9,25.6,-0.05,-0.00249,14.000000000000057,
